cat,corr
Clout,0.14
Tone,0.22
WPS,0.17
adverb,-0.22
negate,-0.22
adj,-0.17
tone_neg,-0.29
emo_anx,-0.28
emo_sad,-0.28
Cognition,-0.12
discrep,-0.16
tentat,-0.2
differ,-0.18
Perception,-0.22
auditory,-0.18
feeling,-0.29
Drives,0.15
achieve,0.16
power,0.19
reward,0.18
time,0.15
netspeak,-0.14
