cat,corr
Clout,0.18
Tone,0.36
function,-0.19
adverb,-0.25
negate,-0.31
adj,-0.14
quantity,-0.15
tone_pos,0.25
tone_neg,-0.44
emo_anx,-0.38
emo_anger,-0.28
emo_sad,-0.34
Social,0.29
family,0.14
Cognition,-0.18
cause,0.19
discrep,-0.28
tentat,-0.31
differ,-0.32
Perception,-0.25
auditory,-0.24
feeling,-0.27
food,0.15
Drives,0.34
affiliation,0.19
achieve,0.23
power,0.22
reward,0.22
time,-0.12
work,0.21
leisure,0.15
swear,-0.2
netspeak,-0.28
