,mean_a,var_a,mean_b,var_b,t_value,p_value
Clout,52.48304093567253,1429.727760110079,49.85666666666666,1318.4618894736843,0.6359582797835088,0.5252553606029063
Tone,52.99426900584795,1428.3831010801516,49.12267973856209,1154.0858250085998,0.9653226376920162,0.33510765936813824
WPS,13.327719298245613,65.89171417956658,11.410915032679737,44.00592810457516,2.3108184193430668,0.02147431859808685 < 0.05
adverb,6.797251461988304,64.29655298933608,6.076143790849673,42.72892253181974,0.8808669258131362,0.37904684583006554
negate,1.076608187134503,20.605162545579642,1.4881045751633986,7.651289146886825,-0.9714014443918095,0.33207752955748193
adj,5.349766081871345,77.22095288613693,6.107385620915033,45.98445101479189,-0.861324135416483,0.38970047580161515
tone_neg,0.6165497076023392,10.662620378396975,0.31137254901960787,1.7224698142414863,1.1248025881958388,0.26185236204514933
emo_anx,0.053157894736842105,0.4832052631578948,0.06535947712418301,0.6535947712418301,-0.14604525534451718,0.8839770476205645
emo_sad,0.1506432748538012,2.0978613484692117,0.0,0.0,1.3600642113062404,0.17561047862737378
Cognition,13.401461988304094,156.24923137942898,16.043529411764705,95.0062874613003,-2.1039410136097803,0.03615871303403829 < 0.05
discrep,3.453918128654971,26.048828675610597,2.608562091503268,20.897850550395596,1.5631321632665998,0.11900374392529271
tentat,2.7854385964912285,41.12507554179568,3.5655555555555556,22.353576169590642,-1.234161269421479,0.218042788135405
differ,3.2721637426900583,30.058426467148262,4.6496732026143786,25.7782202872377,-2.337720993396653,0.020013848491117897 < 0.05
Perception,7.790292397660818,72.98586991400069,7.651241830065358,43.71174515823873,0.1624441786147978,0.87105797468591
auditory,0.12450292397660818,0.8411801926384587,0.11196078431372551,0.7664263931888544,0.12554640787525626,0.9001693352455292
feeling,0.2866666666666666,1.8046152941176472,0.37392156862745096,2.532341099071207,-0.534970714046067,0.5930393395324409
Drives,3.9178362573099417,34.99924882008943,4.307777777777777,27.942054239766083,-0.6226745247990711,0.5339391430863138
achieve,1.193859649122807,12.2765826625387,1.1816993464052288,7.367423409012728,0.03462606066674126,0.9723993750255787
power,0.6588888888888889,6.3089240522875825,1.0522875816993464,7.076165127278982,-1.3686911332975873,0.17204993597888238
reward,0.053391812865497074,0.2539472514619883,0.057777777777777775,0.16208055555555556,-0.08588675641379899,0.9316098184431755
time,5.282222222222222,57.04568091503268,5.427254901960784,48.63128978328174,-0.17889474203466488,0.8581328586331731
netspeak,0.5812280701754386,4.0471237770897845,1.227516339869281,17.04243589611283,-1.8200798605245514,0.06967513203800152
