,mean_a,var_a,mean_b,var_b,t_value,p_value
Clout,37.78053333333334,1316.7532645765766,54.08406451612904,1357.3126346711354,-3.161481134511435,0.0017827880722207676 < 0.05
Tone,53.57986666666667,1454.5115824144143,46.322258064516134,1230.6937318810224,1.4292159333004437,0.15431084693231728
WPS,10.877733333333332,83.45780695495496,11.403161290322581,71.33262695433598,-0.4305668339802876,0.6671900953411152
adverb,6.1456,68.80217362162162,5.855419354838711,46.90031719312945,0.280716979734173,0.7791820441376605
negate,1.0224000000000002,15.299199567567568,0.8474193548387097,4.924376413908671,0.4320184192988495,0.6661363067345925
adj,6.654133333333333,127.42134079279279,6.246838709677419,45.718546434855476,0.3406936465180027,0.7336479366391055
tone_neg,0.44093333333333334,3.7036842522522515,0.4010967741935484,3.1332228152492667,0.15547186531444163,0.8765868877872419
emo_anx,0.0,0.0,0.0716774193548387,0.7963361290322581,-0.9999999999999998,0.3188791928659486
emo_sad,0.0,0.0,0.0,0.0,,nan
Cognition,13.437599999999998,134.80563470270272,15.364645161290323,105.00382373690826,-1.2793446023369908,0.2020761466363645
discrep,2.0557333333333334,15.108484252252248,3.166709677419355,17.884061181399243,-1.9165820100824338,0.05654130897253499
tentat,2.774666666666667,34.12778738738738,3.3658709677419356,27.382742580645164,-0.7729125490057928,0.44037466168969264
differ,3.4018666666666664,50.67297754954955,3.5424516129032253,27.9904562882279,-0.16809793473646611,0.8666552487691841
Perception,11.497066666666667,151.99596965765767,7.594774193548387,75.34437576036865,2.771211736777237,0.006045758874554863 < 0.05
auditory,0.36186666666666667,5.961601873873873,0.22096774193548388,1.0238685379136994,0.6180937234594048,0.5371304798411514
feeling,0.4958666666666666,5.020840792792796,0.4806451612903226,4.564982697947215,0.049847613113360244,0.9602874643631127
Drives,3.7254666666666663,38.53184133333333,5.468322580645161,45.70642184331797,-1.8813090141871551,0.06120416998044849
achieve,0.9009333333333335,14.185670738738736,2.0302580645161292,19.839310322580644,-1.8921806296881576,0.059733993237930424
power,0.4981333333333333,4.7760126846846855,0.8235483870967742,10.960715249266862,-0.7731721830354128,0.44022131979025847
reward,0.036000000000000004,0.0972,0.0952258064516129,0.6066874486803518,-0.8205167091790369,0.4128010727213848
time,3.265466666666667,42.250306198198196,4.774967741935483,50.14920048596565,-1.5557097023883835,0.12116410300866567
netspeak,0.6289333333333333,6.588406954954953,0.08212903225806452,0.24783894428152495,2.560112636877271,0.011110119218838116 < 0.05
