,mean_a,var_a,mean_b,var_b,t_value,p_value
Clout,37.78053333333334,1316.7532645765766,49.85666666666666,1318.4618894736843,-2.3599086599625463,0.019130757003382143 < 0.05
Tone,53.57986666666667,1454.5115824144143,49.12267973856209,1154.0858250085998,0.8934878490588244,0.37254643135509335
WPS,10.877733333333332,83.45780695495496,11.410915032679737,44.00592810457516,-0.5013456098324386,0.6166158986097143
adverb,6.1456,68.80217362162162,6.076143790849673,42.72892253181974,0.06881839085071981,0.9451950285545168
negate,1.0224000000000002,15.299199567567568,1.4881045751633986,7.651289146886825,-1.0367388355282128,0.3009655758098271
adj,6.654133333333333,127.42134079279279,6.107385620915033,45.98445101479189,0.4550710444970392,0.6494949805656925
tone_neg,0.44093333333333334,3.7036842522522515,0.31137254901960787,1.7224698142414863,0.5968973856297372,0.5511733796521752
emo_anx,0.0,0.0,0.06535947712418301,0.6535947712418301,-1.0,0.3188997993805918
emo_sad,0.0,0.0,0.0,0.0,,nan
Cognition,13.437599999999998,134.80563470270272,16.043529411764705,95.0062874613003,-1.7786210979999701,0.07664615291035065
discrep,2.0557333333333334,15.108484252252248,2.608562091503268,20.897850550395596,-0.8996993569230552,0.3692379026011683
tentat,2.774666666666667,34.12778738738738,3.5655555555555556,22.353576169590642,-1.095974436964732,0.2742564722025779
differ,3.4018666666666664,50.67297754954955,4.6496732026143786,25.7782202872377,-1.5197312838267425,0.12997627436421663
Perception,11.497066666666667,151.99596965765767,7.651241830065358,43.71174515823873,3.066370085603097,0.0024307495109917292 < 0.05
auditory,0.36186666666666667,5.961601873873873,0.11196078431372551,0.7664263931888544,1.1286432414216165,0.2602450069149027
feeling,0.4958666666666666,5.020840792792796,0.37392156862745096,2.532341099071207,0.47286270407427616,0.6367674874837248
Drives,3.7254666666666663,38.53184133333333,4.307777777777777,27.942054239766083,-0.7371119348774571,0.4618188245509375
achieve,0.9009333333333335,14.185670738738736,1.1816993464052288,7.367423409012728,-0.6428639076462107,0.5209640868990726
power,0.4981333333333333,4.7760126846846855,1.0522875816993464,7.076165127278982,-1.5634262019112093,0.11935153962114353
reward,0.036000000000000004,0.0972,0.057777777777777775,0.16208055555555556,-0.41168486849892827,0.6809605841398141
time,3.265466666666667,42.250306198198196,5.427254901960784,48.63128978328174,-2.24801821659027,0.025540101084883617 < 0.05
netspeak,0.6289333333333333,6.588406954954953,1.227516339869281,17.04243589611283,-1.150677859859214,0.2510808115961165
