,mean_a,var_a,mean_b,var_b,t_value,p_value
Clout,52.48304093567253,1429.727760110079,37.78053333333334,1316.7532645765766,2.841797129975519,0.004865341834180241 < 0.05
Tone,52.99426900584795,1428.3831010801516,53.57986666666667,1454.5115824144143,-0.11156726346937161,0.9112582513542813
WPS,13.327719298245613,65.89171417956658,10.877733333333332,83.45780695495496,2.0961694161374216,0.0370974842582125 < 0.05
adverb,6.797251461988304,64.29655298933608,6.1456,68.80217362162162,0.5806522431976376,0.5620107465864221
negate,1.076608187134503,20.605162545579642,1.0224000000000002,15.299199567567568,0.089803900242164,0.9285167199697241
adj,5.349766081871345,77.22095288613693,6.654133333333333,127.42134079279279,-0.9795300290789737,0.32828835831126546
tone_neg,0.6165497076023392,10.662620378396975,0.44093333333333334,3.7036842522522515,0.43359988829274054,0.6649621160077379
emo_anx,0.053157894736842105,0.4832052631578948,0.0,0.0,1.0,0.31873176984444823
emo_sad,0.1506432748538012,2.0978613484692117,0.0,0.0,1.3600642113062404,0.17561047862737378
Cognition,13.401461988304094,156.24923137942898,13.437599999999998,134.80563470270272,-0.021322984749466516,0.9830054354479263
discrep,3.453918128654971,26.048828675610597,2.0557333333333334,15.108484252252248,2.117472696470436,0.0352316797889041 < 0.05
tentat,2.7854385964912285,41.12507554179568,2.774666666666667,34.12778738738738,0.012453916123648842,0.9900736461441337
differ,3.2721637426900583,30.058426467148262,3.4018666666666664,50.67297754954955,-0.15541591879047778,0.8766219280089396
Perception,7.790292397660818,72.98586991400069,11.497066666666667,151.99596965765767,-2.7182410037137483,0.007033852407881993 < 0.05
auditory,0.12450292397660818,0.8411801926384587,0.36186666666666667,5.961601873873873,-1.1076558050721748,0.2691011963914536
feeling,0.2866666666666666,1.8046152941176472,0.4958666666666666,5.020840792792796,-0.9059374910847287,0.3658626562765037
Drives,3.9178362573099417,34.99924882008943,3.7254666666666663,38.53184133333333,0.23127080799253957,0.8172982413165029
achieve,1.193859649122807,12.2765826625387,0.9009333333333335,14.185670738738736,0.5898938673458606,0.5558076677022148
power,0.6588888888888889,6.3089240522875825,0.4981333333333333,4.7760126846846855,0.4801435536587404,0.6315554747480494
reward,0.053391812865497074,0.2539472514619883,0.036000000000000004,0.0972,0.2764022116741882,0.7824731378993379
time,5.282222222222222,57.04568091503268,3.265466666666667,42.250306198198196,2.0085963546892027,0.045681834076216676 < 0.05
netspeak,0.5812280701754386,4.0471237770897845,0.6289333333333333,6.588406954954953,-0.15692827698651582,0.8754311464193474
