,mean_a,var_a,mean_b,var_b,t_value,p_value
Clout,49.85666666666666,1318.4618894736843,54.08406451612904,1357.3126346711354,-1.0140957509227428,0.31133822415978535
Tone,49.12267973856209,1154.0858250085998,46.322258064516134,1230.6937318810224,0.7115491875083183,0.47728605832717874
WPS,11.410915032679737,44.00592810457516,11.403161290322581,71.33262695433598,0.008952396665898438,0.9928629499369965
adverb,6.076143790849673,42.72892253181974,5.855419354838711,46.90031719312945,0.2892748788318592,0.772566923549193
negate,1.4881045751633986,7.651289146886825,0.8474193548387097,4.924376413908671,2.24356363429068,0.025575582250119314 < 0.05
adj,6.107385620915033,45.98445101479189,6.246838709677419,45.718546434855476,-0.18071395539196244,0.8567117323231488
tone_neg,0.31137254901960787,1.7224698142414863,0.4010967741935484,3.1332228152492667,-0.5048046782252358,0.6140593668543379
emo_anx,0.06535947712418301,0.6535947712418301,0.0716774193548387,0.7963361290322581,-0.06508988805496238,0.948144933545713
emo_sad,0.0,0.0,0.0,0.0,,nan
Cognition,16.043529411764705,95.0062874613003,15.364645161290323,105.00382373690826,0.5955936124939396,0.5518869867508093
discrep,2.608562091503268,20.897850550395596,3.166709677419355,17.884061181399243,-1.1124896228814567,0.26680089944044727
tentat,3.5655555555555556,22.353576169590642,3.3658709677419356,27.382742580645164,0.35124930029745516,0.7256430468167574
differ,4.6496732026143786,25.7782202872377,3.5424516129032253,27.9904562882279,1.8735387945462922,0.06194701200148849
Perception,7.651241830065358,43.71174515823873,7.594774193548387,75.34437576036865,0.06416499816898759,0.948880742965277
auditory,0.11196078431372551,0.7664263931888544,0.22096774193548388,1.0238685379136994,-1.0105065649900788,0.31305101595166257
feeling,0.37392156862745096,2.532341099071207,0.4806451612903226,4.564982697947215,-0.49665892073132906,0.6197861986602693
Drives,4.307777777777777,27.942054239766083,5.468322580645161,45.70642184331797,-1.6768305168080238,0.09459684190535834
achieve,1.1816993464052288,7.367423409012728,2.0302580645161292,19.839310322580644,-2.015789907899412,0.044695742148343286 < 0.05
power,1.0522875816993464,7.076165127278982,0.8235483870967742,10.960715249266862,0.6678910620211641,0.5047065536721371
reward,0.057777777777777775,0.16208055555555556,0.0952258064516129,0.6066874486803518,-0.5290092306254909,0.5971825649972673
time,5.427254901960784,48.63128978328174,4.774967741935483,50.14920048596565,0.8143903841304337,0.41605466337404984
netspeak,1.227516339869281,17.04243589611283,0.08212903225806452,0.24783894428152495,3.4291429680565493,0.000688539962261656 < 0.05
