,U03RTJ7MJ68,U03S3QBFKED,U03SESRETRN,U0RFXPUFK,U0RMHEX53
Clout,27.367931034482762,52.48304093567252,37.78053333333333,49.85666666666666,54.08406451612904
Tone,65.65741379310344,52.994269005847954,53.57986666666667,49.12267973856209,46.32225806451613
WPS,11.117758620689656,13.327719298245613,10.877733333333333,11.410915032679737,11.403161290322581
adverb,7.216724137931035,6.797251461988304,6.1456,6.076143790849673,5.85541935483871
negate,1.7601724137931034,1.0766081871345028,1.0224000000000002,1.4881045751633988,0.8474193548387097
adj,6.078965517241379,5.349766081871345,6.654133333333333,6.107385620915032,6.246838709677419
tone_neg,0.8144827586206896,0.6165497076023392,0.44093333333333334,0.31137254901960787,0.4010967741935484
emo_anx,0.45879310344827584,0.053157894736842105,0.0,0.06535947712418301,0.0716774193548387
emo_sad,0.0,0.1506432748538012,0.0,0.0,0.0
Cognition,14.605689655172414,13.401461988304094,13.4376,16.043529411764705,15.364645161290323
discrep,1.9374137931034483,3.453918128654971,2.0557333333333334,2.608562091503268,3.166709677419355
tentat,3.826206896551724,2.785438596491228,2.7746666666666666,3.5655555555555556,3.3658709677419356
differ,4.619655172413793,3.2721637426900583,3.4018666666666664,4.6496732026143786,3.542451612903226
Perception,6.453275862068966,7.790292397660818,11.497066666666667,7.65124183006536,7.594774193548387
auditory,0.7472413793103448,0.12450292397660818,0.36186666666666667,0.11196078431372548,0.22096774193548388
feeling,0.37344827586206897,0.2866666666666666,0.4958666666666666,0.37392156862745096,0.4806451612903226
Drives,2.798448275862069,3.9178362573099417,3.725466666666667,4.307777777777778,5.468322580645162
achieve,1.5779310344827586,1.193859649122807,0.9009333333333335,1.1816993464052288,2.0302580645161292
power,0.0,0.6588888888888889,0.4981333333333333,1.0522875816993464,0.8235483870967741
reward,0.0,0.053391812865497074,0.036000000000000004,0.057777777777777775,0.0952258064516129
time,6.640689655172414,5.282222222222222,3.2654666666666667,5.427254901960785,4.774967741935484
netspeak,2.4555172413793103,0.5812280701754386,0.6289333333333333,1.227516339869281,0.08212903225806452
