speaker,listener,similarity_with_user_baseline,mean,std
U03RTJ7MJ68,U03S3QBFKED,0.9565221990517881,0.7812684536158729,0.23953307936169435
U03RTJ7MJ68,U03SESRETRN,0.4281903280078735,0.7812684536158729,0.23953307936169435
U03RTJ7MJ68,U0RFXPUFK,0.8485069827107543,0.7812684536158729,0.23953307936169435
U03RTJ7MJ68,U0RMHEX53,0.8918543046930757,0.7812684536158729,0.23953307936169435
U03S3QBFKED,U03RTJ7MJ68,0.8756502153948744,0.8463975666037666,0.07261014058768395
U03S3QBFKED,U03SESRETRN,0.7933970488979687,0.8463975666037666,0.07261014058768395
U03S3QBFKED,U0RFXPUFK,0.9353102723750305,0.8463975666037666,0.07261014058768395
U03S3QBFKED,U0RMHEX53,0.7812327297471932,0.8463975666037666,0.07261014058768395
U03SESRETRN,U03RTJ7MJ68,0.8111304540144808,0.8354601356538243,0.09836947761098933
U03SESRETRN,U03S3QBFKED,0.9360079717339697,0.8354601356538243,0.09836947761098933
U03SESRETRN,U0RFXPUFK,0.8851669399530102,0.8354601356538243,0.09836947761098933
U03SESRETRN,U0RMHEX53,0.7095351769138365,0.8354601356538243,0.09836947761098933
U0RFXPUFK,U03RTJ7MJ68,0.8835282743901582,0.9053164449207467,0.04270805576451544
U0RFXPUFK,U03S3QBFKED,0.9675987771522726,0.9053164449207467,0.04270805576451544
U0RFXPUFK,U03SESRETRN,0.8728580530768615,0.9053164449207467,0.04270805576451544
U0RFXPUFK,U0RMHEX53,0.8972806750636944,0.9053164449207467,0.04270805576451544
U0RMHEX53,U03RTJ7MJ68,0.829667471303525,0.8709487399320407,0.03948912678305119
U0RMHEX53,U03S3QBFKED,0.8875559962219017,0.8709487399320407,0.03948912678305119
U0RMHEX53,U03SESRETRN,0.9178821755324729,0.8709487399320407,0.03948912678305119
U0RMHEX53,U0RFXPUFK,0.8486893166702633,0.8709487399320407,0.03948912678305119
